track_name,artist_name,genre,artist_country,release_year,release_month,streams,popularity,duration_ms,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mood,duration_min
HUMBLE,Kendrick Lamar,Hip-Hop,US,2022,1,1974706,94,173367,0.889,0.287,0.283,104.6,0.423,-12.69,0.134,Sad,2.89
Psycho,Post Malone,Hip-Hop/Pop,US,2020,1,2296613,78,213788,0.644,0.345,0.303,119.0,0.053,-7.13,0.028,Melancholic,3.56
lovely,Billie Eilish,Alt-Pop,US,2022,1,4482274,88,246608,0.375,0.371,0.502,153.3,0.409,-14.72,0.095,Chill,4.11
Kill Bill,SZA,R&B,US,2019,8,3327264,91,210819,0.847,0.264,0.457,131.0,0.271,-5.94,0.04,Hype,3.51
Perfect,Ed Sheeran,Pop,GB,2022,7,5147195,82,157733,0.515,0.46,0.521,125.9,0.156,-9.63,0.077,Hype,2.63
Blank Space,Taylor Swift,Pop,US,2020,7,6776221,92,234597,0.741,0.614,0.517,128.7,0.388,-10.55,0.092,Motivational,3.91
Circles,Post Malone,Hip-Hop/Pop,US,2019,6,8332728,91,189949,0.522,0.687,0.859,110.6,0.355,-6.27,0.042,Sad,3.17
Video Games,Lana Del Rey,Indie-Pop,US,2023,7,1470782,77,143085,0.737,0.74,0.249,130.1,0.391,-3.37,0.054,Happy,2.38
HUMBLE,Kendrick Lamar,Hip-Hop,US,2020,5,3373483,83,244490,0.654,0.351,0.153,148.8,0.282,-4.52,0.255,Motivational,4.07
Bulleya,Pritam,Bollywood,IN,2022,1,5250906,78,248514,0.688,0.41,0.267,117.3,0.083,-8.81,0.238,Hype,4.14
As It Was,Harry Styles,Pop,GB,2019,9,3453217,83,235701,0.829,0.609,0.575,124.5,0.124,-7.74,0.065,Motivational,3.93
Nayagan,Ilaiyaraaja,Bollywood,IN,2023,8,3750848,85,175693,0.753,0.546,0.66,105.9,0.213,-3.3,0.264,Happy,2.93
Dil Se,A.R. Rahman,Bollywood,IN,2022,3,6988285,80,178794,0.68,0.451,0.502,112.8,0.384,-7.78,0.093,Chill,2.98
Money Trees,Kendrick Lamar,Hip-Hop,US,2018,1,2416631,84,261571,0.495,0.383,0.162,118.3,0.263,-9.07,0.377,Romantic,4.36
Fix You,Coldplay,Rock/Pop,GB,2022,1,4354800,99,204835,0.689,0.806,0.849,121.1,0.291,-2.98,0.23,Sad,3.41
Shake It Off,Taylor Swift,Pop,US,2018,8,13783370,84,188002,0.548,0.789,0.557,117.6,0.142,-8.94,0.12,Melancholic,3.13
HUMBLE,Drake,Hip-Hop,CA,2023,5,6818791,98,163651,0.666,0.618,0.214,109.4,0.087,-8.37,0.113,Chill,2.73
Sign of the Times,Harry Styles,Pop,GB,2021,4,4117768,92,181769,0.77,0.577,0.214,132.4,0.117,-4.94,0.158,Hype,3.03
Laung Gawacha,Nucleya,Electronic,IN,2021,4,2911410,73,254131,0.66,0.691,0.333,124.0,0.232,-10.98,0.029,Energetic,4.24
Love Story,Taylor Swift,Pop,US,2021,6,12536573,100,195476,0.73,0.411,0.518,170.5,0.439,-8.46,0.222,Chill,3.26
Channa Mereya,Arijit Singh,Bollywood,IN,2023,5,706264,87,216318,0.594,0.725,0.478,130.2,0.067,-7.49,0.212,Hype,3.61
HUMBLE,Drake,Hip-Hop,CA,2022,8,2984800,93,212934,0.767,0.611,0.372,103.4,0.298,-10.88,0.044,Motivational,3.55
Psycho,Post Malone,Hip-Hop/Pop,US,2022,7,8268975,95,210455,0.514,0.521,0.295,117.3,0.095,-4.94,0.093,Hype,3.51
Rockstar,Post Malone,Hip-Hop/Pop,US,2023,4,4287504,84,217928,0.8,0.889,0.582,112.2,0.051,-10.76,0.347,Sad,3.63
Ocean Eyes,Billie Eilish,Alt-Pop,US,2018,6,3133405,94,219220,0.747,0.708,0.208,113.6,0.536,-4.46,0.037,Hype,3.65
Sajdaa,Vishal-Shekhar,Bollywood,IN,2023,11,3537399,86,187237,0.826,0.678,0.194,105.6,0.167,-8.33,0.155,Energetic,3.12
Summertime Sadness,Lana Del Rey,Indie-Pop,US,2019,9,7875662,81,213920,0.771,0.511,0.392,175.1,0.51,-11.05,0.109,Motivational,3.57
Bulleya,Pritam,Bollywood,IN,2018,9,6314251,79,187663,0.452,0.823,0.688,153.4,0.15,-11.05,0.025,Hype,3.13
Ae Dil Hai Mushkil,Arijit Singh,Bollywood,IN,2021,11,9775201,87,190155,0.532,0.689,0.408,147.3,0.089,-2.77,0.287,Energetic,3.17
Blank Space,Taylor Swift,Pop,US,2020,6,6665363,86,252425,0.747,0.412,0.916,107.9,0.366,-6.84,0.092,Sad,4.21
Love Story,Taylor Swift,Pop,US,2023,9,2326690,100,227617,0.342,0.579,0.255,126.0,0.484,-7.68,0.163,Sad,3.79
White Iverson,Post Malone,Hip-Hop/Pop,US,2022,1,3130137,85,202928,0.371,0.746,0.479,126.6,0.042,-10.86,0.126,Melancholic,3.38
Therefore I Am,Billie Eilish,Alt-Pop,US,2019,12,20486276,90,147019,0.81,0.183,0.802,129.5,0.061,-3.83,0.198,Melancholic,2.45
As It Was,Harry Styles,Pop,GB,2023,12,12103353,85,232006,0.671,0.78,0.163,90.8,0.409,-5.72,0.09,Melancholic,3.87
DNA,Kendrick Lamar,Hip-Hop,US,2023,5,5663156,91,237044,0.578,0.428,0.344,117.7,0.033,-8.15,0.1,Happy,3.95
Starboy,The Weeknd,R&B/Pop,CA,2018,5,7454490,88,213883,0.389,0.575,0.273,153.4,0.169,-10.2,0.227,Motivational,3.56
Break My Heart,Dua Lipa,Pop,GB,2019,4,11830821,86,212561,0.556,0.291,0.58,101.8,0.485,-9.97,0.265,Sad,3.54
Good Days,SZA,R&B,US,2019,3,2500171,73,219393,0.756,0.446,0.514,122.4,0.388,0.69,0.1,Melancholic,3.66
Nayagan,Ilaiyaraaja,Bollywood,IN,2022,11,1775924,63,153044,0.516,0.686,0.314,130.9,0.321,-4.55,0.17,Romantic,2.55
Blue Jeans,Lana Del Rey,Indie-Pop,US,2019,4,3333697,79,196659,0.66,0.503,0.454,113.3,0.177,-7.64,0.014,Hype,3.28
Thinking Out Loud,Ed Sheeran,Pop,GB,2020,11,1692112,100,189771,0.765,0.281,0.421,148.1,0.222,-13.99,0.173,Happy,3.16
Alright,Kendrick Lamar,Hip-Hop,US,2023,9,5651560,94,217632,0.662,0.848,0.573,138.4,0.319,-13.48,0.372,Energetic,3.63
Blank Space,Taylor Swift,Pop,US,2020,10,7838928,94,211834,0.758,0.371,0.361,147.1,0.237,-4.15,0.039,Chill,3.53
Adore You,Harry Styles,Pop,GB,2021,5,6817368,100,230294,0.621,0.332,0.384,127.3,0.153,-12.84,0.097,Romantic,3.84
Sajdaa,Vishal-Shekhar,Bollywood,IN,2018,4,1208871,69,187527,0.644,0.421,0.307,125.9,0.288,1.56,0.214,Sad,3.13
Snooze,SZA,R&B,US,2022,5,1372603,88,230316,0.301,0.716,0.833,97.8,0.494,-4.82,0.054,Chill,3.84
Phir Bhi Tumko Chaahunga,Arijit Singh,Bollywood,IN,2020,1,2104775,96,199598,0.814,0.902,0.299,96.3,0.134,-6.76,0.025,Happy,3.33
Nayagan,Ilaiyaraaja,Bollywood,IN,2020,4,4114196,84,179834,0.599,0.522,0.762,127.4,0.527,-8.05,0.176,Motivational,3.0
Happier Than Ever,Billie Eilish,Alt-Pop,US,2022,5,6167315,89,220650,0.727,0.632,0.491,110.8,0.505,-11.85,0.042,Energetic,3.68
Galliyan,Pritam,Bollywood,IN,2020,8,6070666,86,232190,0.767,0.253,0.613,147.7,0.087,-12.05,0.065,Happy,3.87
Snooze,SZA,R&B,US,2023,3,5023337,84,167668,0.79,0.594,0.326,90.4,0.145,-8.22,0.232,Melancholic,2.79
Barso Re,Shreya Ghoshal,Bollywood,IN,2023,7,2582688,69,229337,0.679,0.291,0.355,117.6,0.096,-12.1,0.188,Energetic,3.82
Kun Faya Kun,A.R. Rahman,Bollywood,IN,2022,6,897521,77,194236,0.704,0.498,0.598,147.4,0.493,-8.47,0.01,Chill,3.24
Fix You,Coldplay,Rock/Pop,GB,2021,5,3506987,92,221680,0.528,0.65,0.764,142.2,0.338,-5.65,0.151,Motivational,3.69
Bulleya,Pritam,Bollywood,IN,2018,3,9382323,71,173742,0.477,0.939,0.485,134.2,0.321,-4.55,0.037,Romantic,2.9
Haare Re,Vishal-Shekhar,Bollywood,IN,2020,2,2444380,68,263977,0.569,0.29,0.702,103.4,0.127,-8.84,0.136,Sad,4.4
Channa Mereya,Arijit Singh,Bollywood,IN,2022,2,5937833,82,249028,0.571,0.762,0.115,155.4,0.029,-2.85,0.379,Hype,4.15
Physical,Dua Lipa,Pop,GB,2022,7,4967301,94,233123,0.786,0.571,0.558,96.0,0.104,-0.58,0.071,Motivational,3.89
Agar Tum Saath Ho,Pritam,Bollywood,IN,2021,1,6949735,75,271084,0.372,0.807,0.162,122.9,0.242,-13.6,0.02,Motivational,4.52
Thalapathi Theme,Ilaiyaraaja,Bollywood,IN,2023,2,3558396,78,258594,0.761,0.434,0.586,120.0,0.156,-7.8,0.203,Hype,4.31
Tujh Mein Rab Dikhta Hai,Shreya Ghoshal,Bollywood,IN,2018,3,6245326,78,221942,0.638,0.69,0.516,147.3,0.278,-9.46,0.012,Happy,3.7
Starboy,The Weeknd,R&B/Pop,CA,2021,2,2589345,100,242165,0.746,0.573,0.502,97.7,0.128,-2.65,0.164,Melancholic,4.04
lovely,Billie Eilish,Alt-Pop,US,2019,7,10831271,99,272100,0.864,0.616,0.662,101.8,0.513,-7.26,0.01,Hype,4.54
New Rules,Dua Lipa,Pop,GB,2021,10,4239941,100,187644,0.539,0.678,0.591,119.9,0.117,-8.71,0.201,Energetic,3.13
As It Was,Harry Styles,Pop,GB,2021,10,4209881,91,226678,0.673,0.58,0.11,125.3,0.441,-5.47,0.423,Sad,3.78
Shape of You,Ed Sheeran,Pop,GB,2023,6,1721264,92,221002,0.563,0.762,0.645,106.6,0.648,-6.6,0.159,Romantic,3.68
Money Trees,Kendrick Lamar,Hip-Hop,US,2019,6,1804818,88,266653,0.702,0.73,0.879,124.0,0.177,-7.87,0.413,Melancholic,4.44
New Rules,Dua Lipa,Pop,GB,2023,6,4869380,72,214184,0.62,0.731,0.581,143.9,0.296,-15.68,0.185,Happy,3.57
Senorita,Vishal-Shekhar,Bollywood,IN,2019,2,5180944,55,185557,0.422,0.413,0.667,124.4,0.084,-14.17,0.268,Hype,3.09
Shake It Off,Taylor Swift,Pop,US,2023,11,5751703,85,174103,0.814,0.903,0.61,87.6,0.075,-8.41,0.21,Happy,2.9
Starboy,The Weeknd,R&B/Pop,CA,2019,3,3269367,86,190285,0.505,0.687,0.556,90.1,0.011,-12.68,0.358,Romantic,3.17
Cruel Summer,Taylor Swift,Pop,US,2019,10,3849170,80,231464,0.72,0.225,0.359,114.7,0.446,-11.34,0.428,Romantic,3.86
Therefore I Am,Billie Eilish,Alt-Pop,US,2019,10,6808168,99,202952,0.38,0.664,0.546,94.6,0.082,-3.37,0.143,Happy,3.38
Perfect,Ed Sheeran,Pop,GB,2019,9,4788608,82,140578,0.729,0.445,0.757,104.8,0.598,-8.99,0.146,Chill,2.34
Yellow,Coldplay,Rock/Pop,GB,2023,1,7101074,79,225926,0.506,0.672,0.381,135.5,0.38,-5.1,0.005,Energetic,3.77
Channa Mereya,Arijit Singh,Bollywood,IN,2019,10,4994833,78,224589,0.31,0.727,0.364,129.8,0.23,-11.78,0.225,Motivational,3.74
Ae Dil Hai Mushkil,Arijit Singh,Bollywood,IN,2020,1,2440788,91,176577,0.785,0.353,0.45,161.0,0.173,1.22,0.108,Energetic,2.94
Golden,Harry Styles,Pop,GB,2018,12,1426403,85,192386,0.49,0.359,0.5,166.4,0.134,-5.52,0.041,Melancholic,3.21
Born To Die,Lana Del Rey,Indie-Pop,US,2020,9,6801414,72,220236,0.565,0.584,0.479,136.2,0.454,-5.48,0.034,Melancholic,3.67
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2019,10,10726194,92,196667,0.418,0.632,0.409,117.1,0.3,-5.04,0.175,Happy,3.28
Boy With Luv,BTS,K-Pop,KR,2021,11,7450104,90,216839,0.832,0.742,0.263,97.0,0.354,-11.11,0.043,Happy,3.61
Can't Feel My Face,The Weeknd,R&B/Pop,CA,2021,7,2422848,94,203904,0.386,0.697,0.545,92.8,0.265,-14.99,0.115,Melancholic,3.4
Born To Die,Lana Del Rey,Indie-Pop,US,2018,2,3276119,72,167011,0.649,0.612,0.436,108.3,0.379,-10.71,0.272,Motivational,2.78
Thalapathi Theme,Ilaiyaraaja,Bollywood,IN,2018,3,11613313,82,191647,0.758,0.435,0.59,153.0,0.376,-3.81,0.16,Chill,3.19
Mouna Ragam,Ilaiyaraaja,Bollywood,IN,2022,12,8949830,74,242489,0.51,0.366,0.697,140.5,0.282,0.52,0.261,Motivational,4.04
Haare Re,Vishal-Shekhar,Bollywood,IN,2022,5,3656568,65,190207,0.712,0.729,0.7,144.4,0.465,-7.73,0.023,Hype,3.17
Permission to Dance,BTS,K-Pop,KR,2021,2,4000204,92,204479,0.188,0.151,0.154,94.6,0.147,-13.43,0.253,Melancholic,3.41
Laung Gawacha,Nucleya,Electronic,IN,2021,8,3042549,66,143841,0.891,0.488,0.43,104.8,0.149,-6.25,0.076,Romantic,2.4
Adore You,Harry Styles,Pop,GB,2021,7,4831735,84,237306,0.767,0.518,0.531,95.5,0.518,-5.73,0.228,Sad,3.96
Raabta,Pritam,Bollywood,IN,2021,6,3146927,67,192426,0.818,0.54,0.112,116.5,0.137,-10.25,0.222,Chill,3.21
Don't Start Now,Dua Lipa,Pop,GB,2023,8,4715406,93,247002,0.83,0.494,0.443,133.8,0.239,-7.01,0.146,Melancholic,4.12
Anti-Hero,Taylor Swift,Pop,US,2018,7,4944588,100,205047,0.629,0.528,0.2,72.3,0.429,-0.85,0.178,Melancholic,3.42
Don't Start Now,Dua Lipa,Pop,GB,2022,1,15285387,97,202609,0.372,0.459,0.747,112.4,0.114,-7.94,0.029,Motivational,3.38
Bulleya,Pritam,Bollywood,IN,2020,11,10647152,74,180888,0.868,0.554,0.309,129.1,0.31,-8.03,0.141,Sad,3.01
Starboy,The Weeknd,R&B/Pop,CA,2022,5,8972047,93,250719,0.704,0.469,0.713,113.2,0.238,-12.19,0.042,Motivational,4.18
Kabira,Pritam,Bollywood,IN,2022,4,9711153,74,238698,0.351,0.579,0.379,93.8,0.115,-11.63,0.066,Energetic,3.98
Young and Beautiful,Lana Del Rey,Indie-Pop,US,2018,6,5894097,73,173767,0.733,0.856,0.793,95.2,0.205,-5.07,0.007,Motivational,2.9
Raabta,Pritam,Bollywood,IN,2022,4,3379358,67,167790,0.506,0.599,0.477,145.0,0.076,-6.89,0.282,Sad,2.8
Kusu Kusu,Nucleya,Electronic,IN,2022,11,6229755,85,173303,0.867,0.642,0.936,86.9,0.157,-8.69,0.109,Happy,2.89
Agni Natchathiram,Ilaiyaraaja,Bollywood,IN,2018,3,5940816,75,223801,0.626,0.371,0.591,79.5,0.414,-2.02,0.149,Chill,3.73
Barso Re,Shreya Ghoshal,Bollywood,IN,2020,1,2762168,78,201584,0.479,0.379,0.286,110.6,0.205,-6.74,0.258,Energetic,3.36
Laugh Now Cry Later,Drake,Hip-Hop,CA,2023,7,17466655,89,195907,0.499,0.86,0.419,153.1,0.235,-3.07,0.164,Melancholic,3.27
God's Plan,Drake,Hip-Hop,CA,2018,12,9312793,75,194871,0.49,0.218,0.458,80.6,0.141,-5.11,0.185,Romantic,3.25
Sajdaa,Vishal-Shekhar,Bollywood,IN,2021,6,6520669,73,209948,0.461,0.198,0.768,126.2,0.456,-11.47,0.121,Energetic,3.5
Physical,Dua Lipa,Pop,GB,2023,6,3449821,79,221472,0.52,0.625,0.62,110.9,0.409,-10.12,0.14,Melancholic,3.69
Save Your Tears,The Weeknd,R&B/Pop,CA,2019,10,2277127,90,256084,0.582,0.757,0.948,102.2,0.131,-7.83,0.195,Happy,4.27
Love Story,Taylor Swift,Pop,US,2021,11,8590452,100,210914,0.459,0.718,0.711,96.7,0.416,-8.33,0.128,Sad,3.52
Blue Jeans,Lana Del Rey,Indie-Pop,US,2021,7,2285487,82,185284,0.761,0.731,0.725,149.6,0.4,-8.91,0.267,Chill,3.09
Rang De Basanti,A.R. Rahman,Bollywood,IN,2018,6,8991843,86,220001,0.524,0.313,0.46,122.3,0.307,-4.66,0.133,Sad,3.67
Raabta,Pritam,Bollywood,IN,2023,11,1503998,75,198207,0.694,0.371,0.734,75.3,0.164,-7.51,0.119,Hype,3.3
Boy With Luv,BTS,K-Pop,KR,2018,4,6415044,100,145401,0.297,0.743,0.793,112.5,0.137,-7.47,0.017,Sad,2.42
Roja,Ilaiyaraaja,Bollywood,IN,2018,4,9334106,83,161369,0.585,0.76,0.933,154.8,0.354,-12.48,0.117,Chill,2.69
Kun Faya Kun,A.R. Rahman,Bollywood,IN,2020,5,2866270,65,197879,0.48,0.838,0.529,117.8,0.121,-9.03,0.098,Motivational,3.3
Galliyan,Pritam,Bollywood,IN,2021,12,5319611,71,161163,0.801,0.312,0.304,173.7,0.158,-4.17,0.24,Sad,2.69
The Scientist,Coldplay,Rock/Pop,GB,2021,9,3930938,86,191455,0.603,0.455,0.675,133.6,0.265,-12.22,0.074,Romantic,3.19
Permission to Dance,BTS,K-Pop,KR,2023,6,5793192,96,208671,0.579,0.18,0.256,90.6,0.377,-5.6,0.208,Melancholic,3.48
Balam Pichkari,Vishal-Shekhar,Bollywood,IN,2021,1,4652902,82,222673,0.623,0.384,0.161,102.1,0.59,-1.37,0.103,Hype,3.71
Love Story,Taylor Swift,Pop,US,2022,7,6712027,96,188484,0.592,0.736,0.538,149.8,0.216,-8.61,0.067,Sad,3.14
Adore You,Harry Styles,Pop,GB,2018,7,7880383,73,154844,0.595,0.52,0.217,118.4,0.193,-6.69,0.152,Happy,2.58
Rockstar,Post Malone,Hip-Hop/Pop,US,2022,8,4465306,83,204388,0.59,0.664,0.433,75.1,0.389,-11.44,0.04,Motivational,3.41
Blank Space,Taylor Swift,Pop,US,2018,4,9792959,100,192653,0.625,0.62,0.457,101.5,0.225,-8.32,0.136,Sad,3.21
Love Galore,SZA,R&B,US,2022,2,17042936,90,223134,0.674,0.229,0.138,126.8,0.342,-7.7,0.138,Sad,3.72
Barso Re,Shreya Ghoshal,Bollywood,IN,2019,6,2550065,67,217288,0.489,0.73,0.485,82.1,0.347,-7.83,0.389,Energetic,3.62
Cruel Summer,Taylor Swift,Pop,US,2023,2,7305819,90,126437,0.506,0.755,0.578,113.5,0.033,-3.38,0.049,Romantic,2.11
Physical,Dua Lipa,Pop,GB,2023,11,3077128,100,254426,0.366,0.325,0.691,89.8,0.047,-7.72,0.074,Energetic,4.24
bad guy,Billie Eilish,Alt-Pop,US,2019,5,7329977,78,208682,0.953,0.446,0.173,110.0,0.271,-8.54,0.011,Romantic,3.48
Viva la Vida,Coldplay,Rock/Pop,GB,2019,11,8813798,69,212102,0.563,0.593,0.484,81.7,0.204,-5.83,0.132,Melancholic,3.54
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2021,10,3947938,92,147858,0.828,0.621,0.396,141.9,0.182,-14.12,0.36,Hype,2.46
Broken Clocks,SZA,R&B,US,2020,11,3777696,86,231893,0.241,0.816,0.792,116.0,0.325,-7.27,0.091,Motivational,3.86
HUMBLE,Drake,Hip-Hop,CA,2018,8,7924100,100,203589,0.588,0.619,0.554,68.0,0.114,-1.76,0.248,Hype,3.39
Barso Re,Shreya Ghoshal,Bollywood,IN,2022,1,5622850,80,206537,0.63,0.594,0.527,124.4,0.718,-12.65,0.215,Motivational,3.44
Dynamite,BTS,K-Pop,KR,2020,8,6393064,93,217342,0.487,0.821,0.549,118.3,0.372,-8.64,0.096,Hype,3.62
Blinding Lights,The Weeknd,R&B/Pop,CA,2020,5,8316563,91,282785,0.721,0.423,0.75,117.8,0.083,-11.2,0.072,Melancholic,4.71
Cruel Summer,Taylor Swift,Pop,US,2022,9,3922182,82,205325,0.747,0.535,0.354,51.0,0.385,-10.04,0.082,Sad,3.42
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2022,12,9717416,71,186178,0.642,0.68,0.405,119.5,0.03,-2.62,0.122,Happy,3.1
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2023,4,5503624,100,197629,0.636,0.585,0.748,143.9,0.109,-11.97,0.133,Motivational,3.29
Nayagan,Ilaiyaraaja,Bollywood,IN,2022,3,6309320,80,238291,0.398,0.812,0.787,126.2,0.437,-10.29,0.17,Happy,3.97
HUMBLE,Kendrick Lamar,Hip-Hop,US,2020,12,15564830,88,201149,0.74,0.257,0.691,114.0,0.441,-5.15,0.011,Melancholic,3.35
Butter,BTS,K-Pop,KR,2018,4,4132738,90,158833,0.689,0.292,0.288,79.1,0.333,-7.36,0.018,Hype,2.65
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2022,10,3161239,93,208261,0.354,0.48,0.68,107.9,0.458,-11.2,0.042,Energetic,3.47
Physical,Dua Lipa,Pop,GB,2020,7,1985145,81,191829,0.769,0.828,0.661,87.2,0.062,-7.83,0.352,Sad,3.2
Psycho,Post Malone,Hip-Hop/Pop,US,2018,11,16049107,94,199402,0.569,0.552,0.599,112.2,0.162,-8.8,0.044,Motivational,3.32
Love Story,Taylor Swift,Pop,US,2018,9,5798481,100,232602,0.767,0.545,0.202,150.5,0.556,-4.05,0.075,Sad,3.88
Barso Re,Shreya Ghoshal,Bollywood,IN,2023,11,5858560,73,201884,0.589,0.725,0.437,111.2,0.309,-2.63,0.296,Energetic,3.36
Circles,Post Malone,Hip-Hop/Pop,US,2022,11,8888700,79,219265,0.722,0.879,0.293,114.9,0.132,-4.45,0.091,Energetic,3.65
Physical,Dua Lipa,Pop,GB,2023,12,5975437,81,157960,0.677,0.695,0.344,86.6,0.146,-5.25,0.163,Sad,2.63
Laugh Now Cry Later,Drake,Hip-Hop,CA,2023,2,5680474,83,203001,0.572,0.758,0.229,94.1,0.188,-10.06,0.142,Chill,3.38
Todo,Nucleya,Electronic,IN,2023,6,3566715,58,200377,0.496,0.825,0.309,142.2,0.439,-10.61,0.332,Energetic,3.34
Dynamite,BTS,K-Pop,KR,2023,11,7981219,97,265561,0.639,0.416,0.345,146.5,0.2,-7.72,0.201,Sad,4.43
Boy With Luv,BTS,K-Pop,KR,2018,6,8417911,99,184814,0.741,0.595,0.506,125.4,0.229,-12.91,0.093,Chill,3.08
The Scientist,Coldplay,Rock/Pop,GB,2020,8,11471382,83,239830,0.788,0.539,0.505,137.9,0.602,-5.94,0.178,Romantic,4.0
Happier Than Ever,Billie Eilish,Alt-Pop,US,2019,2,3213733,94,201009,0.776,0.808,0.413,102.3,0.309,-8.78,0.15,Chill,3.35
Kabira,Pritam,Bollywood,IN,2022,12,1426154,64,221179,0.686,0.649,0.396,120.8,0.387,-6.15,0.048,Happy,3.69
Psycho,Post Malone,Hip-Hop/Pop,US,2019,10,5091755,93,219508,0.801,0.199,0.576,150.3,0.155,-6.77,0.254,Sad,3.66
One Dance,Drake,Hip-Hop,CA,2019,12,6177888,87,234472,0.776,0.458,0.127,122.8,0.366,-7.24,0.24,Energetic,3.91
HUMBLE,Kendrick Lamar,Hip-Hop,US,2021,6,2270945,94,200405,0.884,0.439,0.342,130.7,0.184,-6.38,0.106,Romantic,3.34
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2020,12,8219413,91,195174,0.541,0.781,0.303,110.5,0.391,-5.04,0.218,Hype,3.25
lovely,Billie Eilish,Alt-Pop,US,2019,5,12064507,85,253956,0.518,0.541,0.475,96.0,0.14,-13.65,0.386,Hype,4.23
Dil Se,A.R. Rahman,Bollywood,IN,2023,10,2348879,78,235805,0.653,0.442,0.778,107.8,0.103,-7.0,0.305,Hype,3.93
Alright,Kendrick Lamar,Hip-Hop,US,2021,9,5609559,94,241798,0.655,0.364,0.344,126.6,0.066,-5.1,0.144,Sad,4.03
The Scientist,Coldplay,Rock/Pop,GB,2022,3,4507886,82,201760,0.54,0.626,0.529,79.6,0.496,-8.11,0.255,Chill,3.36
Can't Feel My Face,The Weeknd,R&B/Pop,CA,2020,9,9892376,71,201461,0.332,0.308,0.54,86.9,0.518,-9.79,0.181,Melancholic,3.36
Dynamite,BTS,K-Pop,KR,2020,2,3881477,90,191086,0.846,0.439,0.696,135.7,0.247,-10.96,0.39,Energetic,3.18
Thinking Out Loud,Ed Sheeran,Pop,GB,2022,3,4621756,89,266678,0.774,0.537,0.663,102.4,0.487,-0.75,0.151,Sad,4.44
Shake It Off,Taylor Swift,Pop,US,2021,6,7589622,100,213051,0.664,0.774,0.401,145.2,0.373,-10.83,0.585,Happy,3.55
As It Was,Harry Styles,Pop,GB,2021,9,3193758,82,267768,0.552,0.779,0.779,114.0,0.197,-10.02,0.301,Motivational,4.46
Ocean Eyes,Billie Eilish,Alt-Pop,US,2018,6,2799560,89,195705,0.776,0.598,0.598,127.6,0.027,-4.26,0.334,Romantic,3.26
Channa Mereya,Arijit Singh,Bollywood,IN,2018,12,1705255,88,235891,0.538,0.784,0.881,112.1,0.38,-3.72,0.094,Motivational,3.93
One Dance,Drake,Hip-Hop,CA,2018,5,5219262,99,192471,0.571,0.63,0.802,75.6,0.116,-8.06,0.203,Hype,3.21
HUMBLE,Drake,Hip-Hop,CA,2021,10,16109526,88,197251,0.501,0.488,0.543,158.3,0.495,-9.23,0.017,Happy,3.29
Anti-Hero,Taylor Swift,Pop,US,2020,4,3059651,93,214826,0.456,0.468,0.291,106.8,0.018,-10.14,0.157,Energetic,3.58
Kusu Kusu,Nucleya,Electronic,IN,2022,7,3101966,73,243635,0.6,0.608,0.208,138.8,0.239,-0.16,0.111,Melancholic,4.06
Sun Raha Hai,Shreya Ghoshal,Bollywood,IN,2020,2,1927935,75,209029,0.623,0.63,0.632,124.6,0.289,-6.66,0.028,Happy,3.48
Ocean Eyes,Billie Eilish,Alt-Pop,US,2023,10,3487397,97,195779,0.774,0.783,0.119,135.3,0.09,-13.22,0.104,Hype,3.26
Anti-Hero,Taylor Swift,Pop,US,2021,10,6407884,90,210727,0.812,0.721,0.667,117.6,0.125,-11.24,0.126,Happy,3.51
Permission to Dance,BTS,K-Pop,KR,2019,12,2723135,92,213251,0.621,0.599,0.055,95.5,0.647,-1.67,0.095,Energetic,3.55
Tujh Mein Rab Dikhta Hai,Shreya Ghoshal,Bollywood,IN,2018,10,1349436,78,164783,0.495,0.684,0.658,149.9,0.389,-4.56,0.073,Motivational,2.75
lovely,Billie Eilish,Alt-Pop,US,2021,3,1755112,100,255549,0.708,0.58,0.514,126.5,0.403,-8.68,0.599,Melancholic,4.26
Boy With Luv,BTS,K-Pop,KR,2018,9,5663998,86,227516,0.679,0.65,0.443,93.5,0.112,-5.51,0.21,Happy,3.79
Sajdaa,Vishal-Shekhar,Bollywood,IN,2018,11,5024144,78,136778,0.646,0.64,0.349,153.9,0.496,-12.3,0.362,Sad,2.28
Physical,Dua Lipa,Pop,GB,2023,1,5560456,93,230290,0.57,0.444,0.058,164.6,0.119,-6.47,0.09,Motivational,3.84
Love Story,Taylor Swift,Pop,US,2019,12,6355188,97,173952,0.599,0.84,0.518,134.3,0.313,-1.33,0.124,Melancholic,2.9
Snooze,SZA,R&B,US,2019,1,11897923,73,247454,0.75,0.631,0.773,125.4,0.456,-15.07,0.017,Motivational,4.12
Naag,Nucleya,Electronic,IN,2023,3,8007641,62,229488,0.659,0.475,0.281,117.3,0.25,-11.3,0.133,Hype,3.82
Young and Beautiful,Lana Del Rey,Indie-Pop,US,2019,2,10310455,67,188009,0.782,0.877,0.212,135.1,0.364,-5.45,0.201,Hype,3.13
